concept	concept_name
C0019080	Hemorrhage
C0833289	Neck of right femur
C0012691	Dislocations
C0410480	Avascular Necrosis of Femur Head
C0226230	Structure of right vertebral artery
C0008519	Ectopic Tissue
C0521164	Ring (shape)
C0018563	Hand
C1881251	Invagination of Medical Device Material
C0334548	Juxtacortical chondroma
C4545628	Injection of thrombin
C0274411	Subcutaneous emphysema resulting from a procedure
C0341266	Diverticulosis of the duodenum
C0015385	Limb structure
C0021149	Incidence
C0016522	Foramen Ovale, Patent
C0446435	Level of the fifth lumbar vertebra
C0448311	Extraocular rectus muscle
C0448540	Biceps tendon structure
C0940731	Normal pancreas
C0444504	Statistical mean
C0025147	medroxyprogesterone
C0346388	Malignant melanoma of choroid
C0934770	Right middle finger
C0025483	Mesocolon
C0038450	Stridor
C0580863	Vascular structure of kidney
C0224469	Peroneus longus muscle structure
C0225716	Apical segment of right upper lobe of lung
C0226448	Structure of left femoral artery
C3146295	Triceps
C2986525	Pretracheal space
C0008919	Claw
C0019409	Heterogeneity
C0443349	Volar
C0745674	Dilated left ventricle
C0558362	Pansinusitis
C0522506	Downstream
C0227793	Upper third of vagina
C3827806	Tortuous colon
C0018801	Heart failure
C0186657	Arthroplasty, Replacement, Shoulder
C0181954	INTRODUCER, SYRINGE NEEDLE
C3274336	Grade I Vesicoureteral Reflux
C0227817	fundus uteri
C0082226	deoxyhypusine synthase
C0032284	Pneumonectomy
C0439539	Heavy (weight) (qualifier value)
C0225971	Pericardial fat
C0038355	Stomach Diverticulum
C3853028	Thoracic Cord
C0018924	Hemarthrosis
C0817329	Left patella
C0225594	Structure of carina
C0734000	Wall of small intestine
C1840379	Cerebellar vermis hypoplasia
C0233494	Tension
C0020564	Hypertrophy
C0441962	N1 category
C0268595	Glutaric aciduria, type 1
C0026718	Mucormycosis
C0236178	Intraabdominal hemorrhage
C0008767	Cicatrization
C0223963	Bone structure of medial cuneiform
C0183519	Urethral stent
C0522488	Short axis
C0598352	Voltage
C0396899	Repair of tricuspid valve
C1839965	Multiple impacted teeth
C0003486	Aortic Aneurysm
C0182537	pump (device)
C0010276	Craniopharyngioma
C2986545	Dorsoventral
C0205126	Horizontal
C0494165	Secondary malignant neoplasm of liver
C1882285	Paravertebral Route of Administration
C0230179	Structure of left upper quadrant of abdomen
C0006012	Borderline Personality Disorder
C0796070	MICROPHTHALMIA, SYNDROMIC 7
C0007531	Cecum
C0444462	Transgluteal approach
C0827193	Inferior glenohumeral ligament
C0007095	Carcinoid Tumor
C0520575	Acute pyelonephritis
C0009319	Colitis
C1995013	Set of muscles
C0241886	Extraocular
C0240708	Calcification of pericardium
C0014850	Esophageal Atresia
C0037941	Spinal nerve structure
C0018948	Hemometra
C0459579	Posterior rectus sheath
C0020541	Portal Hypertension
C0028936	Structure of olfactory bulb
C1275818	Right anterior oblique emissive projection
C1836047	Long face
C0227972	Structure of median lobe of prostate
C1306232	Severing
C0043356	Structure of xiphoid process of sternum
C0394162	Deep Brain Stimulation
C0058231	methylsulfonylmethane
C0687094	Structure of premaxillary bone
C0023759	Lip structure
C1184888	Basion
C0443286	Reaction
C0024670	Mammillary body structure
C1302329	Apical long axis
C0019699	HIV Seropositivity
C0002453	Amenorrhea
C4708692	Structure of distal part of pancreas
C2938959	Paraspinal abscess
C0041951	Ureter
C0023461	Leukemia, Mast-Cell
C0019209	Hepatomegaly
C0015684	Fatty Acids
C0006826	Malignant Neoplasms
C0030297	Pancreatic Neoplasm
C0027121	Myositis
C1848109	Long fibula
C1513268	Microcirculatory Bed
C1709878	Reference Point
C0205097	Caudal
C0227389	Descending colon
C0027442	Nasopharynx
C0458451	Spongy urethra
C2346753	Amplitude
C0929214	Right lower lung zone
C1288329	Structure of lower uterine segment
C0541974	Fuzzy head
C0266036	Macrodontia (disorder)
C2063389	Retroperitoneal liposarcoma
C2924612	Cephalometric point A
C0795690	Congenital omphalocele
C0333435	Cystic degeneration
C0345392	Congenital kyphoscoliosis
C0042382	Vascularization
C0852866	Cervical cord compression
C0222734	Palatine bone structure
C1334305	Juxta-Articular Myxoma
C0035086	Renal Osteodystrophy
C0003862	Arthralgia
C0205266	Intact
C0018120	Ovarian Follicle
C0949541	Hurthle Cell Tumor
C0267581	Rectal Stenosis
C0437107	O/E - breast lump palpated
C0227055	Mandibular left second molar tooth
C0040210	Tidal Volume
C0034215	Pyometra
C2825198	Atrial Lead
C1969397	Short 2nd metacarpal
C0816597	Left radius
C0024121	Lung Neoplasms
C0439793	Severities
C1833875	Obtuse mandibular angle
C1262477	Weight decreased
C0027707	Nephritis, Interstitial
C1282913	Circular
C0015310	Exotropia
C0226686	Structure of inferior left pulmonary vein
C0002726	Amyloidosis
C0332270	Alternating
C0442070	Anterior wall
C0506546	Esophageal wall structure
C0446908	Mastoid process
C3640175	Needle Gauge
C0816708	Right coronoid process
C0231242	Complicated
C0405532	Lobectomy of thyroid gland
C0225486	lateral wall of nasopharynx
C0936236	Corticospinal Tracts
C3899369	Direct Extension
C4289728	Cryoballoon Ablation Therapy
C0034606	Radionuclide Imaging
C1253959	Branch of
C1706912	BARRIER
C0332472	abnormal fragmented structure
C0034627	Bone structure of radius
C0205070	Testiculo-
C0083360	chlorambucil/dactinomycin/methotrexate protocol
C4280732	Anticentromere antibody positivity
C0439830	Velocity
C0927224	Corticomedullary organ
C4251078	Right corona radiata
C0398650	Immune thrombocytopenic purpura
C0029126	Optic Chiasms
C0151311	Cranial nerve palsies
C0549186	Obstructed
C3272695	Perigastric
C0271188	Visual halos (disorder)
C0229761	Intercostal lymph node
C0271510	Auditory recruitment
C0006141	Breast
C0432487	Post-transplant lymphoproliferative disorder
C0036581	selenium
C0012238	Digestion
C0017118	Gastrectomy
C0229582	Structure of left lobe of thyroid gland
C1548784	Excellent - Specimen Quality
C0228049	Structure of right spermatic cord
C0007279	Carotid Body Paraganglioma
C0086692	Benign Neoplasm
C0009195	Cochlear structure
C1525389	View PA
C0229503	Modiolus anguli oris
C0205330	Punctate
C0700185	Decalcification
C0003392	Antineoplastic Agents
C0223696	Structure of head of radius
C0815704	Right gluteus maximus
C3898692	Inversion Time
C4086580	Midline Shift
C0935625	Fat pad
C0345704	Neoplasm of pyriform sinus
C0225929	Anterosuperior tricuspid leaflet
C1522485	Tracer
C0226016	Structure of right sinus of Valsalva
C0456165	Right atrial pressure
C0225752	Structure of lobe of lung
C1519248	Septate
C0018681	Headache
C3897214	Urinary Leakage
C0023316	Lens Subluxation
C3159206	dendritic spine neck
C0224146	Structure of medial pterygoid muscle
C0578575	Dissection of proximal aorta
C0205288	Microscopic
C0019202	Hepatolenticular Degeneration
C0032623	polyvinyl alcohol
C1518662	Other Multiple Areas
C1511790	Detection
C0596901	Membrane
C1818663	medial cortex
C0000739	Abdominal Muscles
C0685381	Congenital hypoplasia of radius
C0740451	Granulomatous disorder
C0266387	Bicornuate uterus
C1708680	Lesion by Focality
C1266053	Encapsulated papillary carcinoma
C0225897	Left ventricular structure
C0443315	subcutaneous
C0005841	Blood Transfusion
C0265883	Double Aortic Arch
C1883073	Electromagnetic Spectrum
C0027758	S100 Proteins
C0018926	Hematemesis
C0039870	Thinness
C1578482	Abduction deformity of foot
C0504196	Epicardial adipose tissue
C0015967	Fever
C1839829	Short distal phalanx of finger
C1291658	Urinary system finding
C0442808	Increasing
C0270777	Edema of spinal cord
C0014180	Endometrium
C0230718	M line
C0003461	Anus
C0932075	Segment of coracoclavicular ligament
C2330444	Posterior wall of transverse colon
C0546881	Tracking
C0034065	Pulmonary Embolism
C0456482	Structure of lateral nasal wall
C0026268	Replacement of mitral valve (procedure)
C0225740	Lingula of left lung
C0475445	Tumor site
C0175256	subfascicular nucleus
C0008445	Chondrodysplasia Punctata
C3266717	Cephalometric soft tissue plane
C4021875	Tall chin
C0563192	Cobb angle
C0440731	Fetal brain
C1258018	Microbubbles
C0735758	Right superior pubic ramus
C0431750	Pinhole meatus
C0556962	MHz
C0014772	Red Blood Cell Count measurement
C1332852	Cardiac rhabdomyoma
C0334108	Multiple polyps
C0014867	Esophageal Varices
C2828129	Incorrect Patient Position
C0497247	Increase in blood pressure
C4761375	Solid Nodule
C0877373	Advanced Malignant Neoplasm
C0227089	Deciduous maxillary right second molar tooth
C0027342	Nail plate
C0153434	Malignant neoplasm of transverse colon
C0226231	Structure of left vertebral artery
C0018787	Heart
C0226330	Structure of sigmoid artery
C0086323	G Force
C0279354	dianhydrogalactitol/etoposide
C0179323	Blades (device)
C3714581	Multicystic Dysplastic Kidney
C0036186	Saphenous Vein
C1706937	Bidirectional
C0004048	Inspiration function
C0439655	Subjective observation (qualifier value)
C0598934	tumor growth
C0249470	Medpor
C3640003	Computed Tomography Dose Index Volume
C0038960	Suspensions
C0272302	Gray Platelet Syndrome
C0015641	Fascia
C0346109	Malignant Mesothelioma of Peritoneum
C0206686	Adrenocortical carcinoma
C0521610	Emphysematous Cholecystitis
C1868842	Lead Dislodgement
C0031939	Pineal gland
C0224698	Structure of labrum of acetabulum
C0005695	Bladder Neoplasm
C0806487	Image Quality
C1517559	Intratesticular Route of Drug Administration
C2753459	mucus layer
C0269209	Hydrometrocolpos
C0746866	Neurological status
C0180053	Compresses (device)
C0002934	Local Anesthetics
C0226086	Right common carotid artery structure
C4518084	Thoraco-abdominal enteric duplication
C0264394	Paraseptal emphysema
C0040771	Transurethral Resection of Prostate
C2963529	Gonial angle
C0013443	Ear structure
C0333311	Sequestrum
C0025202	melanoma
C0031557	Phlegmon
C0333980	Focal Nodular Hyperplasia
C0028096	Nimustine
C4551970	Sclerotic vertebral endplates
C0311337	Morton Neuroma
C4331352	Study Site Dissolved
C0034629	Radon
C0026709	Mucopolysaccharidosis VI
C1279901	Firstly
C0029396	Heterotopic Ossification
C0226247	Structure of right posterior cerebral artery
C0443218	Fixed behavior
C0030163	Artificial cardiac pacemaker
C3671966	Abnormal pulmonary interstitial pattern
C0036035	Sacrococcygeal Region
C0685707	Muscular ventricular septum defect
C0679396	natural vascular shunt
C0929168	Apical zone of left lung
C0345375	Congenital hypoplasia of femur
C0442146	Parasternal
C0021934	Intussusceptum
C0045093	gemcitabine
C4023017	Intracranial internal carotid artery dissection
C0002645	amoxicillin
C0205112	Basal
C0008339	Cholecystostomy
C0724649	octreotide acetate
C0040145	Thyroidectomy
C2979982	Vaginal Hemorrhage
C1272883	Injection
C1444783	Instability
C3887657	pulmonary diffusion
C0409495	Protrusio acetabuli
C0149871	Deep Vein Thrombosis
C0407260	Wiring of sternum
C0162299	Cyst of thyroid
C0041428	Twins, Conjoined
C1859721	ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC TYPE (disorder)
C0923286	Inferior pulmonary venous tree
C0342342	Idiopathic Hypoparathyroidism
C0086715	Normal Range
C0010054	Coronary Arteriosclerosis
C2960476	Intravascular Route of Drug Administration
C0034014	Bone structure of pubis
C0185044	Surgical avulsion
C0394663	Cupping (regime/therapy)
C0221227	Centriacinar Emphysema
C1522407	Supratentorial Brain
C1444662	Discontinued
C0032584	polyps
C0031093	Periodontal Ligament
C0014856	Esophageal Fistula
C0332511	Decreased size
C0507157	Left clavicle
C1853188	Interhemispheric cyst
C4553297	Cystic Echinocccosis
C0848558	Hypospadias
C0040517	Gilles de la Tourette syndrome
C0265699	Congenital hernia of foramen of Morgagni
C0033578	Prostatic Neoplasms
C0241961	Angiomyolipoma of kidney
C1621895	Adrenal hyperplasia
C0175413	pars reticulata of substantia nigra
C0226721	Structure of right suprarenal vein
C0009080	Clubbed Fingers
C0857121	Hypertensive (finding)
C0694675	right subclavian
C0266039	Taurodontism
C0230240	Falciform ligament
C0524462	Luminal region
C0009519	Complement component C5
C1301820	Obtain
C0817322	Left tibia
C1709545	Piperine Extract (Standardized)
C0224349	Structure of serratus anterior muscle
C1519665	Tumor-Associated Process
C0921005	Lobule
C0887842	Balloon Occlusion
C0206719	Central Neurocytoma
C4245747	Right nasal duct
C0226294	Structure of esophageal artery
C0008370	Cholestasis
C0492616	Ear excavator
C0332679	Crushing injury
C2945599	Mild (qualifier value)
C0021756	Interleukin-2
C0521162	concave
C0036743	Serologic tests
C0856747	Aneurysm of ascending aorta
C0018759	Health Status
C0086783	Colonic Pouches
C0442004	Septal
C0729203	Omnipaque
C0178987	Artificial Airways
C0149925	Small cell carcinoma of lung
C0282090	Laxatives
C0162645	Laryngeal Masks
C0933653	Trunk of apical segmental artery
C0189965	Atrioseptoplasty
C0016778	tegafur
C0475319	Pelvic hematoma
C0442292	Right lateral oblique
C0455881	Hip unstable
C0205276	Local
C0445237	Rotational
C3887499	Renal cyst
C0241889	Family history
C0205163	Equal
C0814225	Benefit
C0439679	Erosive
C0018536	Hallux Valgus
C0337094	Exit
C0934185	Left superior ophthalmic vein
C0439259	kilocalorie
C2828271	levomefolate calcium
C0224319	Structure of multifidus muscle
C0262544	Fracture of lumbar spine
C0277873	Nasal Flaring
C0205123	Coronal (qualifier value)
C1844752	Butterfly vertebrae
C0231749	Knee pain
C0028882	Odontoma
C0334563	Complex odontoma
C1879688	Ambient
C0588210	Bone structure of shaft of humerus
C0597354	radiotracer
C0225741	Structure of apicoposterior segment of upper division of left upper lobe of lung
C0025500	Mesothelioma
C1283694	Intestinal wall structure
C1519504	Stage Grouping
C4545645	Structure of lymph node of left axilla
C0017562	Gingiva
C0739481	Structure of left common iliac vein
C1260969	Ring device
C0443224	Fresh (qualifier value)
C0039462	tellurium
C0010364	Crosses, Genetic
C1522460	Thoracic aorta
C1293139	Surgical extraction
C4284398	Acid-Fast Bacilli Measurement
C0751304	Parasagittal Meningioma
C0040399	Tomography, Emission-Computed, Single-Photon
C0441289	Plastic stent
C0039987	Bone structure of thoracic vertebra
C1179690	T6 innervation
C2973725	Pulmonary arterial hypertension
C0003119	Anophthalmos
C0030232	Pallor
C0333117	Retention of content
C0743559	error
C0151468	Thyroid Gland Follicular Adenoma
C0284447	Simulate composite resin
C1116449	Central Vein
C0742960	cyst benign
C0003873	Rheumatoid Arthritis
C0456269	Para-aortic region
C0039902	thioguanine
C0735759	Left inferior pubic ramus
C0260037	Multiple tumors
C0019155	Structure of hepatic vein
C0223924	Structure of sustentaculum tali
C4744842	Low Intensity Vibration Therapy
C0003956	Ascending aorta structure
C0333053	Anteversion
C0230415	Right lower extremity
C0447541	Lobe of liver
C0086511	Knee Replacement Arthroplasty (procedure)
C1412000	Mesenteric vascular insufficiency
C2986507	Extraosseous
C0448227	Lateral malleolus
C0439650	Fullness
C0040357	Toes
C0723179	SSD
C1856599	Beaking of vertebral bodies
C1518345	Nodular lesions
C0345907	Angiosarcoma of liver
C0226641	Structure of intercostal vein
C0816839	Glenoid cavity region of scapula
C0039027	Structure of superficial middle cerebral vein
C0086330	Gamma Knife Radiosurgery
C1514246	Post-Radiotherapy Breast Angiosarcoma
C1306056	Worker
C0229837	Pararectal lymph node group
C0042158	Utricle structure
C0596407	dental agent
C0040405	X-Ray Computed Tomography
C0018270	Growth
C0225610	Right superior lobar bronchus
C4722602	Underlying
C3698135	Lipohemarthrosis
C0227387	Left colic flexure
C0230443	Structure of left lower leg
C0085297	immunoglobulins, intravenous
C1849039	Metaphyseal widening
C0224240	Structure of brachialis muscle
C0748427	Right atrial enlargement
C0449286	Degree or extent
C2931015	Dandy Walker variant
C0475370	Hydrophilicity
C4244322	Fetal thorax
C0021632	instrumentation aspects
C0348011	Surgical transfer - action
C0751651	Mitochondrial Diseases
C0205182	Atypical
C1968959	Cortical tubers
C0334044	Dysplasia
C0332194	Anterolateral
C0677946	Stable Disease
C0276226	Herpes encephalitis
C0679254	disease recurrence
C4087124	Immunoglobulin G4-Related Disease
C0026975	Myelitis
C0205151	Capsular
C0227028	Maxillary teeth
C0441731	Type 3
C0225844	Right atrial structure
C2939419	Secondary Neoplasm
C0333534	septic
C0458003	Developmental (qualifier value)
C0231024	Neural tube
C0152392	Structure of middle cerebellar peduncle
C2937358	Cerebral Hemorrhage
C0934575	Left lung field
C1513735	Multilocular Lesion
C2974289	crizotinib
C0344709	Right atrial dilatation
